,Paper,year,category,Definition of Cyber-Bullyning,Type of Cyber-bullying,Dataset,Dataset positive sample,Dataset negative sample,Data Downlaoded,Data Collection process,Oversampleing pst instances,Preprocessing,Text Feature,Psycological features,User info features,Sentiment features,WE,Other features,ML model,Deel Learning model,Innovative model,baselines,Test set,Test positive ex.,Test negative ex.,Accuracy,Precision,Recall,AUC,F1,venue,Comments
42,A DYNAMIC COGNITIVE SYSTEM FOR AUTOMATIC DETECTION AND PREVENTION OF CYBER-BULLYING ATTACKS,2015,Cyber-Bullyiing detetction,"is intentional and aggressive act accomplished over a period of time by 
an individual or a group of individuals through an electronic 
medium over feeble victim who cannot sheild themselves",0,0,0,0,0.0,0,0,stop words removal ,1,0,"user info
network info",0,0,image,0,0,0,0,0,0,0,0,0,0,0,0,ARPN journal of engineering and applied sciences,they use rule based system
43,Online social network bullying detection using intelligence techniques,2015,Cyber-Bullyiing detetction,"is  an aggressive intentional act carried out by a group of indiciuals using 
electronic forms of contact repeatedly 
and over time against a victim who cannot easily defend him or herself",0,"FormSpring.me
MySpace",0,0,0.0,CAW 2.0,0,remove stop words and unwanted characters,"BOW
NLP",0,0,0,0,0,NB,0,"Use Fuzzy rule based 
and Genatic algorithm",0,0,0,0,"MySpace(0.87)
FormSpring (0.86)",0,"MySpace(0.91)
FormSpring (0.92)",0,"MySpace(0.98)
FormSpring (0.87)",Procedia Computer Science journal,0
44,Cyberbullying detection and classification using information retrieval algorithm,2015,Cyber-Bullyiing detetction,"an intensional aggressive act carried out by a group or i
ndividual using electronic forms of contact repeatedly and
 over time against a victim who cannot easilt defend themselves",0,"FormSpring.me (500)
MySpace (600)",0,0,0.0,CAW 2.0,0,remove stop words and unwanted characters,"BOW
NLP
POS",0,0,0,0,"levenshtein distance 
to detect the bullying 
words in the text",NB,0,0,0,0,0,0,"MySpace(0.91)
FormSpring (0.92)",0,0,0,"MySpace(0.0.89)
FormSpring (0.87)",International Conference on Advanced Research in Computer Science Engineering and Technology,0
46,A Framework for Cyberbullying Detection in Social Network,2015,Cyber-Bullyiing detetction,"is an online attack based on deliberately insulting, threatening, embarassing or 
harassing people on the internet. It also indicates the communication with the victim through 
the abusive texts and images via social media",abusive content,0,0,0,0.0,0,0,"removing stop words
tokenization
stemming
strip white spaces
spelling and grammer correction
",BOW,0,0,0,0,"image features using Loca
l binary pattern (LBP)",SVM,0,combining text and image features,0,0,0,0,0,0,0,0,0,International Journal of current engineering and technology,they proposed the idea but havenot applied it
53,Supervised machine learning for the detection of troll profiles in twitter social network: Application to a real case of cyberbullying,2016,troll profiles,"any harassment that occurs via the internet, cell phones or other devices. This type of bullying uses
this type of bullying uses communication technologies to intentionally harm others through hostile 
behaviour such as sending text message and posting ugly comments on the internet",0,Twitter (1900 - 19 twitter account),0,0,0.0,0,0,tokenizatoin,"ngrams
tf-idf",0,"language
position
time of publication",0,0,authorship,"RF
DT
KNN
SMO
NB",0,0,0,0,0,0,(SMO)0.68,0,0,(SMO) 0.96,0,Logic Journal of the IGPL,they detect troll profiles not bullying incidents
54,Cyberbullying detection based on semantic-enhanced marginalized denoising auto-encoder,2016,Cyber-Bullying detetction,"is an aggressive intentional actions performed by an individual or a group of people 
via digital communication methods such as sending messages and posting comments against a victim",0,"MySpace (1539)
Twitter (7321)","MySpace (398)
Twitter (2102)","MySpace (1141)
Twitter (5219)",1.0,"Twitter data was crawled using keywords, then manullay labelled
myspace data was labelled by 3 labellers",0,"tokenization
stemming
remove stop words
replace user mentions urls with predefined characters",unigrams and bigrams,0,0,0,0,0,0,smSDA,0,"Bullying word matching
semantic enhances BOW
LSA
LDA
mSDA","Twitter (6521)
MySpace (1139)",0,0,"Twitter (0.849)
MySpace (0.897)",0,0,0,"Twitter (0.0.719)
MySpace (0.776)",IEEE Transactions on Affective Computing journal,0
55,Automatic detection of cyberbullying on social networks based on bullying features,2016,Cyber-Bullying detetction,0,0,Twitter (1762),0,0,1.0,"Twitter data was crawled using keywords, then manullay labelled
myspace data was labelled by 3 labellers",0,"Tokenization
reterrs removed
urls usermentions and special characters are replaced by predefined characters",BOW,0,0,0,EBOW,0,SVM,0,0,"LSA
LDA
sBOW",0,0,0,0,0.76,0.794,0,0.78,international conference on distributed computing and networking,0
56,"Cyberbullying Detection with a Pronunciation
Based Convolutional Neural Network",2016,Cyber-Bullying detetction,"is an aggressive, intentional act conducted by either a group or an individual in 
cyberspace conducted by either a group or an individual in cyberspace 
using information and communication technologies",0,"Twitter (1313)
Formspringme (13000)","Twitter (39%)
Formspring (7%)","Twitter (61%)
Formspring (93%)",1.0,from other researchers,0,"removing usernames
hashtags
hyperlinks",0,0,0,0,1,Pronounciation conversion,0,CNN,0,"RF
SVM
DT",0,0,0,0,0.991,0.97,0.98,0.989,2016 15th IEEE International Conference on Machine Learning and Applications,0
58,"Cybercrime detection in online communications: The experimental
case of cyberbullying detection in the Twitter network",2016,Cyber-Bullying detetction,"0Cyberbullying behaviors are defined as aggressive behaviors
exhibited through electronic or digital media and intended to inflict
harm or discomfort to a victim",aggressive behaviour,Twitter (10007),Twitter (599),0,0.0,handl labbeled by 3 experts,oversampling the minority and under sample majority class,"lowercase
urls user mentions replaced with special characters
correcting misspelled words
remove white spaces","vulgar words
fisrt and second person pronouns
bullying acrynomes",neurotic features,"network features
user activity features
age
gender
",0,0,"activity features
specific social network cyberbullying features
measure features usefulness using cho-square test information gain and pearson correlation","SVM
NB
RF
KNN",0,0,0,0,0,0,0,SVM + information gain (0.994),SVM + information gain (0.890),SVM + information gain (0.500),SVM + information gain (0.943),journal Computers in Human Behavior,"We select three features selection algorithms, namely, c 2
test, information gain, and Pearson correlation, to determine the
most significant proposed features. The synthetic minority over-
sampling technique (SMOTE) approach and the weights
adjusting approach (cost-sensitive) are used to balance the
classes in the data set. Th"
64,"Automatic detection of cyberbullying in social
media text",2017,0,a content taht is published online by an individual and that is aggressive or hurtful against a victim,"threat
insult
exclusion
sexual talk
defense
encouragment to harassment","Askfm - Englsih (113698)
Askfm - Ducth (78387)",0,0,1.0,"data annotated by experts (linguists) with
 interannotator agreement score (Cohen kappa - Ducth) 
is 0.69 and (Fleiss kappa - English) is 0.59",cost-senstive,"POS
lemmatisation
","word n-grams
char n-gram
BOW
Term lists",0,0,1,0,Topic modelling (LDA nad LSI),SVM,0,0,0,0,0,0,0,"English (0.74)
Dutch (0.67)",English (0.56) Dutch (0.52),"AUCROC
English (0.77) Dutch (0.75)
",English (0.64) Dutch (0.58),PLOS ONE journal,they comapre the performance of different combinations of features and the performance to detect different types of cyberbullying
67,Cyberbullying System Detection and Analysis,2017,cyberbullying detection,"willful and repeated harm inflicted through the use of computers cell
 phones and other electronic devices",cyber bullying ,ASKfm(1000),ASKfm(17%),ASKfm(83%),0.0,"they downloaded data and selected questions
 and answers that contain one insult or swear word",0,"chunck text into sentences
remove weblinks and unknown characters
correct misspelling
","tf-idf
unusual capitalization
dependency features
",LIWC,0,0,0,0,SVM,0,0,0,0,0,0,0.994,0.69,0.849,0,0.761,2017 European Intelligence and Security Informatics Conference,0
75,"Cyberbullying Detection on Social Network
Services",2018,0,"a use of information and communication technology to support malicious repetitive and hostile
behaviors against individuals or groups in order to harm other",Cyberbullying,Twitter ,0,0,0.0,0,0,"convert user mentions to special characters
remove urls puctuations and numbers
correct misspelling
segmantation
stemming
POS","vulgar words
person pronouns
BOW",0,"no user tweets
no words in seld introduction
image usage",1,0,"negative subjectivity
text readability
","KNN
SVM
DT",0,0,0,0,0,0,0,0,0,0,0,Twenty-Second Pacific Asia Conference on Information Systems,they dont report experiement results
77,Optimized Twitter Cyberbullying Detection based on Deep Learning,2018,Cyberbullying,"any violent intentional action conducted by individuals or groups using online channels 
repeatedly against a victim who doesnot have the potential to react",Cyberbullying,Twitter (20000),0,0,0.0,Labelled using Figure eight,0,remove noisy irrelevant and duplicated data,0,0,0,0,GLOVE,0,0,CNN,0,0,0,0,0,0,0,0,0,0,IEEE,They dont report results and havenot done the actual experiement
79,A Socio-linguistic Model for Cyberbullying Detection,2018,Cyberbullying  and bullies,0,Cyberbullying,Twitter (1798),Twitter (27%),Twitter (73%),0.0,annotated by 3 annotators with Fleiss agreement score of 0.14,0,"remove stopwords 
remove numbers
remove nonenglish words
trimming repeated characters
","Ngram
Ngram++
seed++
latent linguistic",0,sociolinguistic,0,Glove ad Doc2vec,PSL,SVM,0,0,0,0,0,0,0,"cyberbullying(0.48)
bullies(0.61)","cyberbullying(0.70)
bullies(0.0.70)",0,"cyberbullying(0.56)
bullies(0.73)","IEEE/ACM ASONAM 2018, August 28-31, 2018","They use PLS and SVM to detect cyberbulling and bullies
"
80,Cyberbullying Detection System with Multiple Server Configurations,2018,detect cyberbullying and dropping them before they are recieved by the intended use,"Cyberbullying is bullying that takes place via digital de-
vices. It can occur via the Short Message Service (SMS), Text,
and apps, or online in social media, forums, or gaming where
people can view, participate in, or share content",Cyberbullying,Formspring (60900),Formspring (23000),Formspring (37900),0.0,0,0,"Case conversion
remove stopwords
remove punctuation
",BOW,0,0,0,0,0,"MNB
SGD",0,0,0,0,0,0,0,0,0,0,"MNB (0.94)
SGD(0.95)",IEEE,0
81,NLP and Machine Learning Techniques for Detecting Insulting Comments on Social Networking Platforms,2018,Cyber-Bullyiing detetction,0,Cyberbullying,"Kaggle (2235)
Twitter (6000)",0,0,0.0,data manually labelled,0,"tokenization
stemming
remove unicode characters
remove stopwords","Tf-idf
no profanty words
no seconf person pronoun
4grams and 5grams",0,0,0,0,0,"LR
SVM
RF
GBM",0,0,0,Kaggle,0,0,RF (0.766),0,0,RF(0.579),0,2018 International Conference on Advances in Computing and Communication Engineering,0
88,"Current Limitations in Cyberbullying Detection: on
Evaluation Criteria, Reproducibility, and Data
Scarcity",2019,cyberbullying detection,0,cyberbullying,"ASKFM(1000)
MySpace
Formspring
Twitter1
Twitter2
Donated
Crowdsourced
Wikipedia Talk pages (toxicity)",0,0,0.0,0,0,"tokenization
lowercase
special char removed",May features,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,This paper mainly replicate studies using previous datasets
89,Detection of Cyberbullying Using Deep Neural Network,2019,Cyber-Bullyiing detetction,"Cyberbullying is characterized as any fierce, purposeful activity
directed by people or gatherings, utilizing on the web channels
over and again against a victim who does not can possibly
react[1]",Cyberbullying,Twitter (69874),0,0,0.0,0,0,"remove stopwords
remove accentuation marks
lowercasing",0,0,0,0,Glove,0,0,CNN,0,"RNN
pther papers",0,0,0,0.93,0,0,0,0,International Conference on Advanced Computing & Communication Systems (ICACCS),simple unreliable data
90,Multilingual Cyberbullying Detection System,2018,Cyber-Bullyiing detetction,"the use of Internet, cell phones,
video game systems, or other technologies to send or post text
or images intended to hurt or embarrass another person or group
of people [5].",Cyberbullying,"Twitter_ar (35273)
Twitter_en (91431)",Twitter_ar (2196),0,0.0,handlabelled,0,TweetToSentiStrengthFeatureVector,0,0,0,0,0,SentiStrengthVector,NB,0,0,NB,0,0,0,0,0.93,0.94,0,0.92,CSNet'17 :,0
91,A Hierarchical Approach for Timely Cyberbullying Detection,2019,Cyber-Bullyiing detetction,"willful and repeated harm inflicted through the use of com-
puters, cell phones, and other electronic devices",aggressive ,Instagram (204 media sessions - 10000 messages),Instagram (1768 messages),Instagram (8230 messages),1.0,handlabelled,set misclassification cost,0remove punctuation and stop words,no 10 profane words,0,0,0,0,conditional feature probabilities,0,0,Hierarichal approach,"DRFS
DLR",0,0,0,0.737,0.65,0.4,0,0,IEEE,"To this end, we propose a novel
hierarchical approach that (i) first characterizes an individual mes-
sage as aggressive or not by evaluating the optimum least number of
informative features extracted from this message, and (ii) uses this
new knowledge to decide if it should continue reviewing messages
or conclude the process and raise a cyberbullying alert."
