,Paper,year,category,Definition of Cyber-Bullyning,Type of Cyber-bullying,Dataset,Dataset positive sample,Dataset negative sample,Data Downlaoded,Data Collection process,Oversampleing pst instances,Preprocessing,Text Feature,Psycological features,User info features,Sentiment features,WE,Other features,ML model,Deel Learning model,Innovative model,baselines,Test set,Test positive ex.,Test negative ex.,Accuracy,Precision,Recall,AUC,F1,venue,Comments
45,Identification and characterization of cyberbullying dynamics in an online social network,2015,Cyber-Bullyiing detetction,"is defined as using information technology to willfully and repeatedly hurt, insult or harass others.",0,MySpace (3032 post - 1129 users),MySpace (1915 post - 383 user),MySpace (1116 post - 744 user),0.0,labelled by 3 workers,0,0,"BOW
second person pronouns
offensive words",0,"age
gender
degree centerality
betweeness centerality
closness centerality
eigenvector centerality
clustering coefficient",1,0,0,DT,0,0,0,0,0,0,0.839,0,0,0,0.836,International Conference on Advances in Social Networks Analysis and Mining ,0
47,"Hateful Symbols or Hateful People?
Predictive Features for Hate Speech Detection on Twitter",2016,Cyber-Bullyiing detetction,"they define hate speech as negating the privileages of white people listed in (McIntosh (2003))
They provide a list of 12 charcteristics that describe hate speech  and compared against each tweet to label them",hate speech: racism and sexism,"Twitter collected over 2 months
16,014 labelled","3,383 (21% - sexist sent by 612 users)
1,972 (12% - rascist sent by 9 users)","11,559 (72%)",1.0,"Crawled  from Twitter piblic API by using keywords like “MKR”, “asian drive”, “feminazi”,
“immigrant”, “nigger”, “sjw”, “WomenAgainstFeminism”,
“blameonenotall”, “islam terrorism”, “notallmen”,
“victimcard”, “victim card”, “arab terror”, “gamergate”,
“jsi",0,0,character n-gram,0,"1-gender
2-location
3-length of user's desc.",0,0,"1-most frquent words in racist anf sexist tweets.
2- avg and total length of tweets
",logistic regression,0,0,0,0,0,0,0,72.93,77.74,0,73.93,Association for Computational Linguistics 2016,"1- Feature engineering.
2-We find that using character n-grams of
lengths up to 4, along with gender as an additional
feature provides the best results.
3-location and length as features made the score worse."
49,Are You a Racist or Am I Seeing Things? Annotator Influence on Hate Speech Detection on Twitter,2016,Cyber-Bullyiing detetction,0,racism and sexism,"Twitter (6,909)",0,0,0.0,labelled by experts and amatures on CrowdFlower platform,0,0,"POS, unigrams, characer ngram, token ngrm, 
word length, brown cluster",0,"gender
user's history of words",0,skipgrams,0,0,0,0,0,0,0,0,0,0,0,0,0,EMNLP 2016,"We find that amateur annotators are more
likely than expert annotators to label items as
hate speech, and that systems trained on expert annotations outperform systems trained
on amateur annotations."
52,Cyberbullying detection using probabilistic socio-textual information fusion,2016,Cyber-Bullyiing detetction,"Cyberbullying may be defined as the following: “When
the Internet, cellphones or other devices are used to send or
post text or images intended to hurt or embarrass another
person”.",0,twitter (4865) data from CAW 2,93 (2%),4700 (98%),1.0,used from CAW comprtion,"Minority over sampling and 
majority downsampling
",0,"density of bad words
POS
density of uppercase
density of exclamation marks
density of question marks
desnity of smilyes",0,user netwok info,0,0,0,0,0,"probablisiic infusion model to properly
 combine the textual and user features","1-Zero R
2- naïve fusion of features",0,0,0,0,0,0,0,0.64,Advances in Social Networks Analysis and Mining (ASONAM) 2016,"1- they use probablistic model to determing agreement between coefficients between modaliteis (different feature groups)
2-determining confidence score of modaities (different feature groups)"
53,Supervised machine learning for the detection of troll profiles in twitter social network: Application to a real case of cyberbullying,2016,troll profiles,"any harassment that occurs via the internet, cell phones or other devices. This type of bullying uses
this type of bullying uses communication technologies to intentionally harm others through hostile 
behaviour such as sending text message and posting ugly comments on the internet",0,Twitter (1900 - 19 twitter account),0,0,0.0,0,0,tokenizatoin,"ngrams
tf-idf",0,"language
position
time of publication",0,0,authorship,"RF
DT
KNN
SMO
NB",0,0,0,0,0,0,(SMO)0.68,0,0,(SMO) 0.96,0,Logic Journal of the IGPL,they detect troll profiles not bullying incidents
57,"Investigating Factors Influencing the Latency of
Cyberbullying Detection",2016,Cyber-Bullying detetction,0,0,Vine (983 media sessions),0,0,1.0,from other researchers,0,0,0,0,"no folloers
no following
no likes
no views",0,0,0,"LR
adaboost",0,"Incremental classifier
Dynamic priority scheduler",0,0,0,0,0,0.713,0.66,0,0,0,"We propose
a multi-stage cyberbullying detection solution that drasti-
cally reduces the classification time and the time to raise
cyberbullying alerts."
58,"Cybercrime detection in online communications: The experimental
case of cyberbullying detection in the Twitter network",2016,Cyber-Bullying detetction,"0Cyberbullying behaviors are defined as aggressive behaviors
exhibited through electronic or digital media and intended to inflict
harm or discomfort to a victim",aggressive behaviour,Twitter (10007),Twitter (599),0,0.0,handl labbeled by 3 experts,oversampling the minority and under sample majority class,"lowercase
urls user mentions replaced with special characters
correcting misspelled words
remove white spaces","vulgar words
fisrt and second person pronouns
bullying acrynomes",neurotic features,"network features
user activity features
age
gender
",0,0,"activity features
specific social network cyberbullying features
measure features usefulness using cho-square test information gain and pearson correlation","SVM
NB
RF
KNN",0,0,0,0,0,0,0,SVM + information gain (0.994),SVM + information gain (0.890),SVM + information gain (0.500),SVM + information gain (0.943),journal Computers in Human Behavior,"We select three features selection algorithms, namely, c 2
test, information gain, and Pearson correlation, to determine the
most significant proposed features. The synthetic minority over-
sampling technique (SMOTE) approach and the weights
adjusting approach (cost-sensitive) are used to balance the
classes in the data set. Th"
61,Mean birds: Detecting aggression and bullying on twitter.,2017,Cyber-Bullyiing detetction,"Cyberbullying and
cyberaggression can take many forms and de_x005F_x005F_x005F_x005F_x005F_x001B_nitions however, the former typically denotes repeated and hostile behavior
performed by a group or an individual and the latter intentional
harm delivered via electronic means to a person or a ",Cyberbullying and Cyber aggressive,"Twitter(9,484)","1-base line with all tweets
2- hatespeech with hashtags related to hate speech",0,0.0,"data labelled using CF workers.
5 workers pr batch
agreement score 0.45",0,0,"avg no. hashtags used, emotionicons,uppercases and urls

",0,"no.posts, friends, 
followers","sentiment score
hate score",avg word embeddings scor,"network fetures like: avg power difference, influence score","J48, LADTree, LMT, NBTree, RF, Funcitonal tree",0,0,0,10%,0,0,0,89.9,91.7,0.907,0,Websci 2017,"1- they label users as bullies, agressors or not
2- the innovaion is in using different combinations of features"
71,Scalable and timely detection of cyberbullying in online social networks,2018,Cyber-Bullyiing detetction,"Cyberbullying is define
as an aggressive online behavior that is carried out repeat
edly
against a person who cannot easily defend himself or
herself, creating a power imbalance [16].","cyber bullying 
cyber aggressive","Vine (59,560 user, 
959 media sessions: video, likes, commentns) ",45 media sessions,914 media session,0.0,Crowd folwer 5 workers agreement score 79.49 (CF measure),Snowball sampling in the data collection,0,"unigrams
negative words",0,"number of followers,followings, likes,views, media-caption
polarity,subjectivity",0,0,0,LR,0,"1- Incremental classifier classification
2- Dynamic classification mechanism",AdaBoost,0,0,0,0,0,0,0,0.68,"In SAC 2018: SAC
2018: Symposium on Applied Computing","1- two key practical issues remain to be worked upon, 
namely scalability of a cyberbullying detection system and timeliness of raising alerts whenever cyberbullying occurs.
2- The solution consists of two key components, namely, a dynamic, multilevel pri"
75,"Cyberbullying Detection on Social Network
Services",2018,0,"a use of information and communication technology to support malicious repetitive and hostile
behaviors against individuals or groups in order to harm other",Cyberbullying,Twitter ,0,0,0.0,0,0,"convert user mentions to special characters
remove urls puctuations and numbers
correct misspelling
segmantation
stemming
POS","vulgar words
person pronouns
BOW",0,"no user tweets
no words in seld introduction
image usage",1,0,"negative subjectivity
text readability
","KNN
SVM
DT",0,0,0,0,0,0,0,0,0,0,0,Twenty-Second Pacific Asia Conference on Information Systems,they dont report experiement results
78,Cyberbullying Detection on Instagram with Optimal Online Feature Selection,2018,optimizing scalability and timliness of cyberbullying detection ,"repetitive hostile behaviour using digital media (e.g. hurtful comments- videos-images) 
in an effort to intentionally and repeatedly harass or harm individuals",Cyberbullying,Instagram (2218 media sessions),Instagram (20%),instgram (80%),1.0,manualy labelled,create smaller datasets with less imbalanced ratio,0,"no profane words
unigrams",0,"no followers
no followees
no shared media",0,0,0,CONcISE,0,"DRFS
RF-Multi
PVC",0,0,0,0,0.8113,0.76,0.77,0.87,0.76,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM),"we propose
a novel algorithm to drastically reduce the number of features
used in classification. We demonstrate the utility, scalability and
responsiveness of our approach using a real-world dataset from
Instagram, the online social media platform with the highest
percentage of users reporting experiencing cyberbullying. Our
approach improves recall by a staggering 700%, while at t"
79,A Socio-linguistic Model for Cyberbullying Detection,2018,Cyberbullying  and bullies,0,Cyberbullying,Twitter (1798),Twitter (27%),Twitter (73%),0.0,annotated by 3 annotators with Fleiss agreement score of 0.14,0,"remove stopwords 
remove numbers
remove nonenglish words
trimming repeated characters
","Ngram
Ngram++
seed++
latent linguistic",0,sociolinguistic,0,Glove ad Doc2vec,PSL,SVM,0,0,0,0,0,0,0,"cyberbullying(0.48)
bullies(0.61)","cyberbullying(0.70)
bullies(0.0.70)",0,"cyberbullying(0.56)
bullies(0.73)","IEEE/ACM ASONAM 2018, August 28-31, 2018","They use PLS and SVM to detect cyberbulling and bullies
"
84,XBully: Cyberbullying Detection within a Multi-Modal Context,2019,Cyber-Bullyiing detetction,"Cyberbullying, commonly defined as the electronic transmission of
insulting or embarrassing comments, photos, or videos",they don't specify what is type of bullying they are after,"1- Instgram sessions (2,218 , 
No.comments= 155,267)
2- Vine sessions (970, 
No comments = 78,250)","1- insta: 678 sessions (No. comments?)
2- vine: 304 sessions (No. comments?)","1- insta:  1540 sessions
 (No. comments?)
2- vine: 666 sessions (No. comments?)",1.0,0,0,0,0,LWIC model,"Netowork info and 
User information",0,0,"images meta data
Time","RF, SVM, LR",0,"1-using multimodlaity 
machien learnig
2- noise-resilient embedding refinement.
3-Xbully as feature","Raw Features (Raw): This is a concatenation of all the multimodal
features such as network feature and text feature.
• Bully [37]: A pretrained classifier4 based on textual analysis.
• SICD [6]: The state-of-the-art cyberbullying detection model
which use",0,0,0,0,0,0,0,"(RF)  Inst: 0.982 and Vine: 0.787
(SVM) Inst: 0.928 and Vine: 0.753
(LR) Inst: 0.878 and Vine: 0.804",WSDM 2019,0
